% 1. Title: Sub contratação
% 

@relation Condicoes
@attribute 'tempo' {'ensolarado', 'garoa', 'chuvoso', 'neblina', 'neve'}
@attribute 'horario' {'dia', 'noite'}
@attribute 'carga' {'grande', 'media', 'pequena'}
@attribute 'distancia' {'grande', 'media', 'pequena'}
@attribute 'urgencia' {'grande', 'media', 'pequena'}
@attribute 'postos' {'sim', 'nao'}
@attribute 'tanque cheio' {'sim', 'nao'}
@attribute 'frequencia de acidentes' {'alta', 'media', 'baixa'}
@attribute 'frequencia de atrasos'  {'alta', 'media', 'baixa'}
@attribute 'Situacao da dupla' { 'fortemente recomendada', 'recomendada', 'indiferente', 'nao recomendada', 'fortemente nao recomendada'}
@data
'ensolarado','dia','media','media','media','sim','nao','alta','media','indiferente'
'ensolarado','dia','media','media','media','sim','sim','alta','media','indiferente'
'ensolarado','dia','media','media','media','nao','nao','alta','media','nao recomendada'
'ensolarado','dia','media','media','media','sim','nao','alta','alta','nao recomendada'
'ensolarado','noite','media','media','media','sim','nao','alta','media','nao recomendada'
'ensolarado','dia','media','media','media','sim','nao','media','media','nao recomendada'
'chuvoso','dia','media','media','media','sim','nao','alta','media','nao recomendada'
'chuvoso','noite','media','media','media','sim','nao','alta','media','fortemente nao recomendada'
'chuvoso','noite','media','media','media','sim','nao','alta','alta','fortemente nao recomendada'
'chuvoso','noite','media','media','media','sim','nao','baixa','media','recomendada'
'chuvoso','noite','media','media','media','sim','nao','baixa','baixa','fortemente recomendada'
'chuvoso','noite','media','media','media','nao','nao','baixa','baixa','recomendada'
'chuvoso','noite','media','media','pequena','nao','nao','baixa','baixa','fortemente recomendada'
'chuvoso','noite','media','media','pequena','nao','nao','baixa','media','fortemente recomendada'
'chuvoso','noite','media','media','pequena','nao','nao','baixa','baixa','fortemente recomendada'
'neve','dia','media','media','media','nao','nao','alta','alta','nao recomendada'
'neve','dia','media','media','media','nao','nao','media','alta','recomendada'
'ensolarado','dia','media','media','grande','nao','nao','alta','media','indiferente'
'ensolarado','dia','media','media','grande','nao','nao','alta','alta','fortemente nao recomendada'
'ensolarado','dia','media','media','grande','sim','nao','alta','baixa','recomendada'
'ensolarado','dia','media','media','grande','sim','nao','media','baixa','fortemente recomendada'
'neve','noite','grande','media','media','nao','sim','baixa','baixa','fortemente recomendada'
'chuvoso','dia','pequena','grande','pequena','nao','nao','baixa','baixa','fortemente recomendada'
